steamid,personaname,loccountrycode,recent_playtime_hours,profileurl
76561198978459784,Noel,CN,49.47,https://steamcommunity.com/profiles/76561198978459784/
76561198307581843,Walls of ZoDiac,HU,34.47,https://steamcommunity.com/id/ZoDiacGameplay/
76561199807036192,ğ‘´ğ’Šğ’ğ’‚ğ’…,IR,6.38,https://steamcommunity.com/profiles/76561199807036192/
76561199500698837,MahanRk,FI,0.45,https://steamcommunity.com/profiles/76561199500698837/
76561199155236731,_-Cesar-_,UA,92.0,https://steamcommunity.com/profiles/76561199155236731/
76561199105269741,Wzphise_,BR,21.77,https://steamcommunity.com/profiles/76561199105269741/
76561199437969901,åƒæˆ‘ä¸€å‡»å§,,21.03,https://steamcommunity.com/profiles/76561199437969901/
76561198217338588,ğ•¸ğ–†ğ–™ğ–ğ•±ğ–”ğ–—ğ•±,PL,116.92,https://steamcommunity.com/profiles/76561198217338588/
76561198020783536,Surreal,US,43.77,https://steamcommunity.com/profiles/76561198020783536/
76561199229766846,KadenKadenKaden,,12.07,https://steamcommunity.com/id/BrutalKombat/
